"language_id","language_name","film_id","title"
1,"English             ",133,"Chamber Italian"
1,"English             ",384,"Grosse Wonderful"
1,"English             ",8,"Airport Pollock"
1,"English             ",98,"Bright Encounters"
1,"English             ",1,"Academy Dinosaur"
1,"English             ",2,"Ace Goldfinger"
1,"English             ",3,"Adaptation Holes"
1,"English             ",4,"Affair Prejudice"
1,"English             ",5,"African Egg"
1,"English             ",6,"Agent Truman"
1,"English             ",7,"Airplane Sierra"
1,"English             ",9,"Alabama Devil"
1,"English             ",10,"Aladdin Calendar"
1,"English             ",11,"Alamo Videotape"
1,"English             ",12,"Alaska Phantom"
1,"English             ",213,"Date Speed"
1,"English             ",13,"Ali Forever"
1,"English             ",14,"Alice Fantasia"
1,"English             ",15,"Alien Center"
1,"English             ",16,"Alley Evolution"
1,"English             ",17,"Alone Trip"
1,"English             ",18,"Alter Victory"
1,"English             ",19,"Amadeus Holy"
1,"English             ",20,"Amelie Hellfighters"
1,"English             ",21,"American Circus"
1,"English             ",22,"Amistad Midsummer"
1,"English             ",23,"Anaconda Confessions"
1,"English             ",24,"Analyze Hoosiers"
1,"English             ",25,"Angels Life"
1,"English             ",26,"Annie Identity"
1,"English             ",27,"Anonymous Human"
1,"English             ",28,"Anthem Luke"
1,"English             ",29,"Antitrust Tomatoes"
1,"English             ",30,"Anything Savannah"
1,"English             ",31,"Apache Divine"
1,"English             ",32,"Apocalypse Flamingos"
1,"English             ",33,"Apollo Teen"
1,"English             ",34,"Arabia Dogma"
1,"English             ",35,"Arachnophobia Rollercoaster"
1,"English             ",36,"Argonauts Town"
1,"English             ",37,"Arizona Bang"
1,"English             ",38,"Ark Ridgemont"
1,"English             ",39,"Armageddon Lost"
1,"English             ",40,"Army Flintstones"
1,"English             ",41,"Arsenic Independence"
1,"English             ",42,"Artist Coldblooded"
1,"English             ",265,"Dying Maker"
1,"English             ",43,"Atlantis Cause"
1,"English             ",44,"Attacks Hate"
1,"English             ",45,"Attraction Newton"
1,"English             ",46,"Autumn Crow"
1,"English             ",47,"Baby Hall"
1,"English             ",48,"Backlash Undefeated"
1,"English             ",49,"Badman Dawn"
1,"English             ",50,"Baked Cleopatra"
1,"English             ",126,"Casualties Encino"
1,"English             ",51,"Balloon Homeward"
1,"English             ",52,"Ballroom Mockingbird"
1,"English             ",53,"Bang Kwai"
1,"English             ",54,"Banger Pinocchio"
1,"English             ",55,"Barbarella Streetcar"
1,"English             ",56,"Barefoot Manchurian"
1,"English             ",57,"Basic Easy"
1,"English             ",58,"Beach Heartbreakers"
1,"English             ",59,"Bear Graceland"
1,"English             ",60,"Beast Hunchback"
1,"English             ",61,"Beauty Grease"
1,"English             ",62,"Bed Highball"
1,"English             ",63,"Bedazzled Married"
1,"English             ",64,"Beethoven Exorcist"
1,"English             ",65,"Behavior Runaway"
1,"English             ",66,"Beneath Rush"
1,"English             ",67,"Berets Agent"
1,"English             ",68,"Betrayed Rear"
1,"English             ",69,"Beverly Outlaw"
1,"English             ",70,"Bikini Borrowers"
1,"English             ",71,"Bilko Anonymous"
1,"English             ",72,"Bill Others"
1,"English             ",73,"Bingo Talented"
1,"English             ",74,"Birch Antitrust"
1,"English             ",75,"Bird Independence"
1,"English             ",76,"Birdcage Casper"
1,"English             ",77,"Birds Perdition"
1,"English             ",78,"Blackout Private"
1,"English             ",79,"Blade Polish"
1,"English             ",80,"Blanket Beverly"
1,"English             ",81,"Blindness Gun"
1,"English             ",82,"Blood Argonauts"
1,"English             ",83,"Blues Instinct"
1,"English             ",84,"Boiled Dares"
1,"English             ",85,"Bonnie Holocaust"
1,"English             ",86,"Boogie Amelie"
1,"English             ",87,"Boondock Ballroom"
1,"English             ",88,"Born Spinal"
1,"English             ",89,"Borrowers Bedazzled"
1,"English             ",90,"Boulevard Mob"
1,"English             ",91,"Bound Cheaper"
1,"English             ",92,"Bowfinger Gables"
1,"English             ",93,"Brannigan Sunrise"
1,"English             ",94,"Braveheart Human"
1,"English             ",95,"Breakfast Goldfinger"
1,"English             ",96,"Breaking Home"
1,"English             ",97,"Bride Intrigue"
1,"English             ",99,"Bringing Hysterical"
1,"English             ",100,"Brooklyn Desert"
1,"English             ",101,"Brotherhood Blanket"
1,"English             ",102,"Bubble Grosse"
1,"English             ",103,"Bucket Brotherhood"
1,"English             ",104,"Bugsy Song"
1,"English             ",105,"Bull Shawshank"
1,"English             ",106,"Bulworth Commandments"
1,"English             ",107,"Bunch Minds"
1,"English             ",108,"Butch Panther"
1,"English             ",109,"Butterfly Chocolat"
1,"English             ",110,"Cabin Flash"
1,"English             ",111,"Caddyshack Jedi"
1,"English             ",112,"Calendar Gunfight"
1,"English             ",113,"California Birds"
1,"English             ",114,"Camelot Vacation"
1,"English             ",115,"Campus Remember"
1,"English             ",116,"Candidate Perdition"
1,"English             ",117,"Candles Grapes"
1,"English             ",118,"Canyon Stock"
1,"English             ",119,"Caper Motions"
1,"English             ",120,"Caribbean Liberty"
1,"English             ",121,"Carol Texas"
1,"English             ",122,"Carrie Bunch"
1,"English             ",123,"Casablanca Super"
1,"English             ",124,"Casper Dragonfly"
1,"English             ",125,"Cassidy Wyoming"
1,"English             ",127,"Cat Coneheads"
1,"English             ",128,"Catch Amistad"
1,"English             ",129,"Cause Date"
1,"English             ",130,"Celebrity Horn"
1,"English             ",131,"Center Dinosaur"
1,"English             ",132,"Chainsaw Uptown"
1,"English             ",134,"Champion Flatliners"
1,"English             ",135,"Chance Resurrection"
1,"English             ",154,"Clash Freddy"
1,"English             ",136,"Chaplin License"
1,"English             ",137,"Charade Duffel"
1,"English             ",138,"Chariots Conspiracy"
1,"English             ",139,"Chasing Fight"
1,"English             ",140,"Cheaper Clyde"
1,"English             ",141,"Chicago North"
1,"English             ",142,"Chicken Hellfighters"
1,"English             ",143,"Chill Luck"
1,"English             ",144,"Chinatown Gladiator"
1,"English             ",145,"Chisum Behavior"
1,"English             ",146,"Chitty Lock"
1,"English             ",147,"Chocolat Harry"
1,"English             ",148,"Chocolate Duck"
1,"English             ",149,"Christmas Moonshine"
1,"English             ",150,"Cider Desire"
1,"English             ",151,"Cincinatti Whisperer"
1,"English             ",152,"Circus Youth"
1,"English             ",153,"Citizen Shrek"
1,"English             ",155,"Cleopatra Devil"
1,"English             ",156,"Clerks Angels"
1,"English             ",157,"Clockwork Paradise"
1,"English             ",158,"Clones Pinocchio"
1,"English             ",159,"Closer Bang"
1,"English             ",160,"Club Graffiti"
1,"English             ",161,"Clue Grail"
1,"English             ",162,"Clueless Bucket"
1,"English             ",163,"Clyde Theory"
1,"English             ",164,"Coast Rainbow"
1,"English             ",184,"Core Suit"
1,"English             ",165,"Coldblooded Darling"
1,"English             ",166,"Color Philadelphia"
1,"English             ",167,"Coma Head"
1,"English             ",168,"Comancheros Enemy"
1,"English             ",169,"Comforts Rush"
1,"English             ",170,"Command Darling"
1,"English             ",171,"Commandments Express"
1,"English             ",172,"Coneheads Smoochy"
1,"English             ",173,"Confessions Maguire"
1,"English             ",174,"Confidential Interview"
1,"English             ",175,"Confused Candles"
1,"English             ",176,"Congeniality Quest"
1,"English             ",177,"Connecticut Tramp"
1,"English             ",178,"Connection Microcosmos"
1,"English             ",179,"Conquerer Nuts"
1,"English             ",180,"Conspiracy Spirit"
1,"English             ",181,"Contact Anonymous"
1,"English             ",182,"Control Anthem"
1,"English             ",183,"Conversation Downhill"
1,"English             ",185,"Cowboy Doom"
1,"English             ",186,"Craft Outfield"
1,"English             ",187,"Cranes Reservoir"
1,"English             ",188,"Crazy Home"
1,"English             ",189,"Creatures Shakespeare"
1,"English             ",190,"Creepers Kane"
1,"English             ",191,"Crooked Frogmen"
1,"English             ",192,"Crossing Divorce"
1,"English             ",193,"Crossroads Casualties"
1,"English             ",194,"Crow Grease"
1,"English             ",195,"Crowds Telemark"
1,"English             ",196,"Cruelty Unforgiven"
1,"English             ",197,"Crusade Honey"
1,"English             ",198,"Crystal Breaking"
1,"English             ",199,"Cupboard Sinners"
1,"English             ",200,"Curtain Videotape"
1,"English             ",201,"Cyclone Family"
1,"English             ",202,"Daddy Pittsburgh"
1,"English             ",203,"Daisy Menagerie"
1,"English             ",204,"Dalmations Sweden"
1,"English             ",205,"Dances None"
